SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,AOT380,AOT440,AOT675,AOT870,AOT1020,WATER
31487,1,02/28/13,16:40:24,-39.421,-71.941,2830,723,32,1.178,0.983,3.5,1222.78,756.28,967.55,617.5,915.72,0.004,0.002,0.002,0.002,0.002,0.137,0.152,0.105,0.116,0.204,Na  
31487,2,02/28/13,16:40:39,-39.421,-71.941,2830,723,31.99,1.178,0.983,3.4,1226.2,758.58,971.94,618.51,917.4,0.003,0.002,0.001,0.001,0.001,0.135,0.149,0.101,0.114,0.202,Na  
31487,3,02/28/13,16:40:53,-39.421,-71.941,2830,723,31.99,1.178,0.983,3.3,1232.74,761.46,973.69,617.35,916.64,0.001,0.001,0.001,0.001,0.001,0.13,0.146,0.099,0.116,0.203,Na  
31487,4,02/28/13,16:41:09,-39.421,-71.941,2830,723,31.98,1.178,0.983,3.2,1231.86,759.48,970.53,614.3,911.97,0.005,0.003,0.001,0.001,0.001,0.131,0.148,0.102,0.12,0.208,Na  
31487,5,02/28/13,16:45:23,-39.421,-71.941,2830,723,31.86,1.177,0.983,2.7,1201.81,739.88,950.03,598.5,887.37,0.022,0.014,0.015,0.023,0.023,0.152,0.171,0.121,0.142,0.231,Na  
31487,6,02/28/13,16:45:38,-39.421,-71.941,2830,723,31.86,1.177,0.983,2.7,1218.37,739.35,947.92,588.85,876.57,0.002,0.001,0.001,0.001,0.001,0.141,0.171,0.122,0.156,0.241,Na  
31487,7,02/28/13,16:45:52,-39.421,-71.941,2830,723,31.85,1.177,0.983,2.7,1211.66,734.43,944.4,585.34,872.46,0.005,0.004,0.001,0.002,0.001,0.146,0.177,0.126,0.161,0.245,Na  
31487,8,02/28/13,16:46:09,-39.421,-71.941,2830,723,31.85,1.176,0.983,2.7,1209.12,729.66,937.77,579.43,862.7,0.003,0.002,0.001,0.001,0.001,0.147,0.183,0.132,0.17,0.255,Na  
31487,9,02/28/13,16:46:24,-39.421,-71.941,2830,723,31.84,1.176,0.983,2.6,1172.85,709.15,921.79,568.57,845.15,0.007,0.005,0.002,0.002,0.002,0.173,0.207,0.146,0.186,0.273,Na  
31487,10,02/28/13,16:46:38,-39.421,-71.941,2830,723,31.84,1.176,0.983,2.6,1235.01,757.14,963.28,611.53,906.24,0.003,0.005,0.002,0.015,0.012,0.129,0.151,0.109,0.124,0.213,Na  
31487,11,02/28/13,16:46:53,-39.421,-71.941,2830,723,31.83,1.176,0.983,2.5,1224.32,748.8,960.06,602.1,895.24,0.003,0.002,0.001,0.001,0.001,0.137,0.161,0.112,0.137,0.224,Na  
31487,12,02/28/13,16:47:09,-39.421,-71.941,2830,723,31.83,1.176,0.983,2.5,1214.6,741.32,954.3,597.06,886.86,0.008,0.003,0.001,0.002,0.002,0.144,0.169,0.117,0.145,0.232,Na  
31487,13,02/28/13,16:21:09,-39.421,-71.941,2830,723,32.88,1.190,0.983,2.2,1208,769.69,967.54,640.04,931.71,0.01,0.003,0.007,0.004,0.004,0.143,0.134,0.104,0.084,0.187,Na  
31487,14,02/28/13,16:47:24,-39.421,-71.941,2830,723,31.82,1.176,0.983,2.4,1219.44,739.77,947.04,590.07,874.37,0.005,0.003,0.001,0.001,0.002,0.14,0.171,0.123,0.155,0.244,Na  
31487,15,02/28/13,16:47:38,-39.421,-71.941,2830,723,31.82,1.176,0.983,2.4,1122.95,716.01,949.7,616.85,914.53,0.023,0.012,0.01,0.013,0.009,0.21,0.199,0.121,0.117,0.206,Na  
31487,16,02/28/13,16:47:53,-39.421,-71.941,2830,723,31.81,1.176,0.983,2.3,1151.74,728.7,961.71,620.96,919.72,0.005,0.003,0.002,0.002,0.001,0.189,0.184,0.11,0.111,0.201,Na  
31487,17,02/28/13,16:48:10,-39.421,-71.941,2830,723,31.81,1.176,0.983,2.3,1124.11,715.68,954.69,618.15,918.44,0.021,0.014,0.005,0.005,0.002,0.21,0.199,0.116,0.115,0.202,Na  
31487,18,02/28/13,16:48:24,-39.421,-71.941,2830,723,31.80,1.176,0.983,2.2,1164.52,733.12,963.2,619.8,918.92,0.014,0.01,0.004,0.001,0.001,0.18,0.179,0.109,0.113,0.201,Na  
31487,19,02/28/13,16:48:39,-39.421,-71.941,2830,723,31.80,1.176,0.983,2.2,1187.53,742.25,964.06,617.11,912.95,0.008,0.004,0.001,0.002,0.001,0.163,0.168,0.108,0.116,0.207,Na  
31487,20,02/28/13,16:48:53,-39.421,-71.941,2830,723,31.79,1.176,0.983,2.1,1057.64,683.17,932.05,599.55,887,0.03,0.018,0.008,0.015,0.02,0.261,0.239,0.137,0.141,0.232,Na  
31487,21,02/28/13,16:49:09,-39.421,-71.941,2830,723,31.79,1.176,0.983,2.1,1128.16,712.32,936.54,599.38,885.57,0.031,0.022,0.011,0.007,0.006,0.207,0.203,0.133,0.141,0.233,Na  
31487,22,02/28/13,16:49:23,-39.421,-71.941,2830,723,31.78,1.176,0.983,2,1104.46,693.47,927.02,594.06,880.36,0.013,0.015,0.007,0.006,0.009,0.225,0.226,0.142,0.149,0.238,Na  
31487,23,02/28/13,16:49:38,-39.421,-71.941,2830,723,31.78,1.176,0.983,2,818.08,549.9,835.41,554.17,829.72,0.127,0.076,0.032,0.028,0.02,0.48,0.423,0.23,0.208,0.288,Na  
31487,24,02/28/13,16:54:38,-39.421,-71.941,2830,723,31.72,1.175,0.983,1.6,1043.35,648.47,831.69,539.07,794.85,0.122,0.126,0.125,0.119,0.105,0.274,0.284,0.234,0.232,0.325,Na  
31487,25,02/28/13,16:54:53,-39.421,-71.941,2830,723,31.71,1.175,0.983,1.6,699.47,460.12,675.03,468.89,707.31,0.279,0.17,0.083,0.068,0.054,0.614,0.576,0.412,0.35,0.424,Na  
31487,26,02/28/13,16:55:09,-39.421,-71.941,2830,723,31.71,1.175,0.983,1.5,165.31,124.17,291.46,258.68,438.65,0.238,0.241,0.229,0.152,0.119,1.842,1.691,1.127,0.857,0.831,Na  
31487,27,02/28/13,16:55:24,-39.421,-71.941,2830,723,31.71,1.175,0.983,1.5,199.9,139.06,318.9,289.35,495.15,0.313,0.296,0.164,0.128,0.117,1.68,1.594,1.05,0.761,0.728,Na  
31487,28,02/28/13,16:55:38,-39.421,-71.941,2830,723,31.71,1.175,0.983,1.5,974.68,617.66,817.67,530.32,773.82,0.036,0.029,0.021,0.032,0.048,0.332,0.325,0.249,0.246,0.348,Na  
31487,29,02/28/13,16:55:53,-39.421,-71.941,2830,723,31.71,1.175,0.983,1.5,397.94,271.37,493.1,371.33,590.83,0.191,0.152,0.059,0.101,0.155,1.094,1.025,0.679,0.549,0.578,Na  
31487,30,02/28/13,16:56:10,-39.421,-71.941,2830,723,31.7,1.175,0.983,1.5,560.02,368.82,624.93,444.17,695.81,0.214,0.181,0.125,0.094,0.074,0.803,0.764,0.477,0.397,0.438,Na  